id,start(ms),duration(ms),warps,t-occupancy,sms,size
0,0,0.051008,0,0,0,554496
1,0.067,1.051943,1262,0.25,14,0
2,1.127,0.051233,256,1.0,4,0
3,1.182,0.001664,0,1,0,0
4,1.187,0.126624,512,1,7,0
5,1.316,1.952077,250,0.25,8,0
6,3.271,0.009952,128,1.0,2,0
7,3.285,0.001568,0,1,0,0
8,3.289,0.103713,1520,1.0,12,0
9,3.396,0.064224,0,0,0,15681600
10,3.465,0.213633,122528,1,15,0
11,3.699,0.001856,0,0,0,5184
12,3.751,0.304258,96,0.375,4,0
13,4.058,0.216034,122528,1,15,0
14,4.277,0.304546,96,0.375,4,0
15,4.584,0.209121,122528,1,15,0
16,4.796,0.300482,96,0.375,4,0
17,5.1,0.216226,122528,1,15,0
18,5.319,0.302658,96,0.375,4,0
19,5.625,0.217089,122528,1,15,0
20,5.845,0.30301,96,0.375,4,0
21,6.151,0.217538,122528,1,15,0
22,6.371,0.302754,96,0.375,4,0
23,6.677,0.213377,122528,1,15,0
24,6.894,0.301026,96,0.375,4,0
25,7.198,0.214081,122528,1,15,0
26,7.415,0.302274,96,0.375,4,0
27,7.72,0.215842,122528,1,15,0
28,7.938,0.319842,96,0.375,4,0
29,8.262,0.216769,122528,1,15,0
30,8.482,0.303618,96,0.375,4,0
31,8.789,0.208898,122528,1,15,0
32,9.001,0.30237,96,0.375,4,0
33,9.306,0.214529,122528,1,15,0
34,9.524,0.301634,96,0.375,4,0
35,9.828,0.216162,122528,1,15,0
36,10.048,0.301922,96,0.375,4,0
37,10.353,0.218689,122528,1,15,0
38,10.575,0.30253,96,0.375,4,0
39,10.88,0.213122,122528,1,15,0
40,11.096,0.302306,96,0.375,4,0
41,11.401,0.210945,122528,1,15,0
42,11.615,0.303682,96,0.375,4,0
43,11.921,0.004736,1520,1,12,0
44,11.93,0.104577,1520,1.0,12,0
45,12.038,0.213441,122528,1,15,0
46,12.254,0.30285,96,0.375,4,0
47,12.559,0.216802,122528,1,15,0
48,12.78,0.300994,96,0.375,4,0
49,13.084,0.208417,122528,1,15,0
50,13.296,0.301698,96,0.375,4,0
51,13.6,0.215265,122528,1,15,0
52,13.819,0.300866,96,0.375,4,0
53,14.123,0.21725,122528,1,15,0
54,14.343,0.300962,96,0.375,4,0
55,14.647,0.216449,122528,1,15,0
56,14.867,0.303522,96,0.375,4,0
57,15.174,0.21229,122528,1,15,0
58,15.389,0.303362,96,0.375,4,0
59,15.695,0.213505,122528,1,15,0
60,15.911,0.302114,96,0.375,4,0
61,16.216,0.215169,122528,1,15,0
62,16.435,0.301825,96,0.375,4,0
63,16.74,0.216705,122528,1,15,0
64,16.96,0.301442,96,0.375,4,0
65,17.264,0.208385,122528,1,15,0
66,17.476,0.302658,96,0.375,4,0
67,17.781,0.213666,122528,1,15,0
68,17.998,0.302402,96,0.375,4,0
69,18.305,0.217217,122528,1,15,0
70,18.525,0.302978,96,0.375,4,0
71,18.83,0.217858,122528,1,15,0
72,19.051,0.302338,96,0.375,4,0
73,19.356,0.213057,122528,1,15,0
74,19.572,0.302498,96,0.375,4,0
75,19.877,0.210785,122528,1,15,0
76,20.091,0.303362,96,0.375,4,0
77,20.398,0.004609,1520,1,12,0
78,20.787,0.03344,320,1.0,5,0
79,21.099,0.013024,0,0,0,1960000
80,21.135,0.028545,15328,1,15,0
81,21.418,0.001984,0,0,0,3136
82,21.455,0.078241,80,0.438,3,0
83,21.537,0.02864,15328,1,15,0
84,21.568,0.077665,80,0.438,3,0
85,21.649,0.027968,15328,1,15,0
86,21.68,0.078016,80,0.438,3,0
87,21.761,0.028129,15328,1,15,0
88,21.792,0.077632,80,0.438,3,0
89,21.873,0.027808,15328,1,15,0
90,21.903,0.077857,80,0.438,3,0
91,21.984,0.028544,15328,1,15,0
92,22.016,0.077761,80,0.438,3,0
93,22.097,0.027616,15328,1,15,0
94,22.127,0.078208,80,0.438,3,0
95,22.208,0.028385,15328,1,15,0
96,22.24,0.077632,80,0.438,3,0
97,22.32,0.027296,15328,1,15,0
98,22.35,0.077793,80,0.438,3,0
99,22.431,0.028064,15328,1,15,0
100,22.462,0.077985,80,0.438,3,0
101,22.543,0.027392,15328,1,15,0
102,22.574,0.07792,80,0.438,3,0
103,22.655,0.027552,15328,1,15,0
104,22.685,0.078209,80,0.438,3,0
105,22.766,0.027648,15328,1,15,0
106,22.797,0.078017,80,0.438,3,0
107,22.878,0.028,15328,1,15,0
108,22.909,0.078048,80,0.438,3,0
109,22.99,0.027105,15328,1,15,0
110,23.02,0.077952,80,0.438,3,0
111,23.101,0.028128,15328,1,15,0
112,23.132,0.077665,80,0.438,3,0
113,23.212,0.00224,320,1,3,0
114,23.217,0.03264,320,1.0,5,0
115,23.253,0.026784,15328,1,15,0
116,23.283,0.078625,80,0.438,3,0
117,23.365,0.028288,15328,1,15,0
118,23.396,0.077761,80,0.438,3,0
119,23.477,0.028192,15328,1,15,0
120,23.508,0.078112,80,0.438,3,0
121,23.59,0.028161,15328,1,15,0
122,23.621,0.078272,80,0.438,3,0
123,23.702,0.027872,15328,1,15,0
124,23.734,0.077729,80,0.438,3,0
125,23.814,0.028608,15328,1,15,0
126,23.846,0.077825,80,0.438,3,0
127,23.928,0.027744,15328,1,15,0
128,23.959,0.077856,80,0.438,3,0
129,24.04,0.028289,15328,1,15,0
130,24.072,0.077984,80,0.438,3,0
131,24.152,0.027616,15328,1,15,0
132,24.183,0.077921,80,0.438,3,0
133,24.264,0.028064,15328,1,15,0
134,24.295,0.078113,80,0.438,3,0
135,24.376,0.027648,15328,1,15,0
136,24.407,0.078208,80,0.438,3,0
137,24.488,0.027328,15328,1,15,0
138,24.519,0.077921,80,0.438,3,0
139,24.6,0.027808,15328,1,15,0
140,24.631,0.077953,80,0.438,3,0
141,24.712,0.028288,15328,1,15,0
142,24.743,0.078176,80,0.438,3,0
143,24.824,0.026977,15328,1,15,0
144,24.854,0.077824,80,0.438,3,0
145,24.935,0.027904,15328,1,15,0
146,24.966,0.077985,80,0.438,3,0
147,25.047,0.002272,320,1,3,0
148,25.76,0.016416,224,1.0,4,0
149,26.071,0.00128,0,0,0,705600
150,26.098,0.010112,5520,1,15,0
151,26.381,0.001856,0,0,0,1600
152,26.416,0.046272,56,0.438,2,0
153,26.465,0.010752,5520,1,15,0
154,26.479,0.045985,56,0.438,2,0
155,26.528,0.010464,5520,1,15,0
156,26.541,0.04576,56,0.438,2,0
157,26.59,0.010784,5520,1,15,0
158,26.604,0.046144,56,0.438,2,0
159,26.653,0.010689,5520,1,15,0
160,26.667,0.046048,56,0.438,2,0
161,26.716,0.010432,5520,1,15,0
162,26.73,0.045952,56,0.438,2,0
163,26.778,0.01072,5520,1,15,0
164,26.792,0.045793,56,0.438,2,0
165,26.842,0.01056,5520,1,15,0
166,26.855,0.04592,56,0.438,2,0
167,26.905,0.01072,5520,1,15,0
168,26.919,0.046049,56,0.438,2,0
169,26.967,0.010464,5520,1,15,0
170,26.981,0.045984,56,0.438,2,0
171,27.03,0.01088,5520,1,15,0
172,27.044,0.0456,56,0.438,2,0
173,27.092,0.010912,5520,1,15,0
174,27.106,0.045953,56,0.438,2,0
175,27.155,0.010784,5520,1,15,0
176,27.169,0.045952,56,0.438,2,0
177,27.218,0.010784,5520,1,15,0
178,27.232,0.045857,56,0.438,2,0
179,27.281,0.010368,5520,1,15,0
180,27.295,0.045728,56,0.438,2,0
181,27.344,0.01136,5520,1,15,0
182,27.358,0.04624,56,0.438,2,0
183,27.408,0.002176,224,1,2,0
184,27.413,0.016513,224,1.0,4,0
185,27.432,0.009216,5520,1,15,0
186,27.444,0.046528,56,0.438,2,0
187,27.493,0.01088,5520,1,15,0
188,27.507,0.04592,56,0.438,2,0
189,27.556,0.010592,5520,1,15,0
190,27.57,0.045921,56,0.438,2,0
191,27.619,0.01104,5520,1,15,0
192,27.632,0.045728,56,0.438,2,0
193,27.681,0.010528,5520,1,15,0
194,27.695,0.046049,56,0.438,2,0
195,27.744,0.01072,5520,1,15,0
196,27.758,0.04608,56,0.438,2,0
197,27.807,0.010624,5520,1,15,0
198,27.821,0.04592,56,0.438,2,0
199,27.87,0.010529,5520,1,15,0
200,27.883,0.046048,56,0.438,2,0
201,27.933,0.01072,5520,1,15,0
202,27.946,0.045696,56,0.438,2,0
203,27.995,0.010656,5520,1,15,0
204,28.009,0.046241,56,0.438,2,0
205,28.058,0.010752,5520,1,15,0
206,28.072,0.04592,56,0.438,2,0
207,28.121,0.010848,5520,1,15,0
208,28.135,0.046176,56,0.438,2,0
209,28.184,0.010688,5520,1,15,0
210,28.197,0.0456,56,0.438,2,0
211,28.246,0.010816,5520,1,15,0
212,28.26,0.045696,56,0.438,2,0
213,28.309,0.010624,5520,1,15,0
214,28.323,0.045697,56,0.438,2,0
215,28.372,0.010912,5520,1,15,0
216,28.386,0.045984,56,0.438,2,0
217,28.435,0.00224,224,1,2,0
218,29.145,0.001376,0,0,0,512
219,29.153,0.003872,512,1,7,0
220,29.16,1.086151,3584,0.625,15,0
221,30.262,0.00144,0,0,0,8
222,30.284,0.00512,1024,1,8,0
223,30.307,0.001056,0,0,0,16
224,30.326,0.002688,16,1,1,0
225,30.353,0.084768,64,0.625,2,0
226,30.451,0.001088,0,0,0,8
227,30.472,0.002688,24,1,1,0
228,30.498,0.006784,16,1,1,0
229,30.518,0.002848,0,0,0,664
